遞ｮ逶ｮ,No.,名前,年,年代区分,名前,エントリータイム,性別,距離,種目,,,,
50m FreestyleWomen,10,WA N G  Q i u s h a,1953,70-74,S HA NGHA IS W IM S T A RS C,50. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,11,KO DAMA Mi c h i y o,1954,70-74,K A W A US OGUM I,49. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,12,TAMURA S a wa k o,1954,70-74,K ONA M IIB A RA K I,48. 31,Women,50m,Freestyle,,,,
50m FreestyleWomen,13,RE N X u me i,1953,70-74,S HA NGHA IS W IM S T A RS C,47. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,14,MI L R O Y  G a i l,1954,70-74,S A P P HIRE COA S T A DULT S C,45. 77,Women,50m,Freestyle,,,,
50m FreestyleWomen,15,DO HI  I z u mi,1952,70-74,LONGW OODS C,45. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,16,HI RO S UE  Ki mi k o,1955,70-74,GUP P YS W IM M INGCLUB OT A,44. 80,Women,50m,Freestyle,,,,
50m FreestyleWomen,17,PALASTI  Ka t a l i n,1952,70-74,S ZE NT E S IDE LFINE GE S ZS E GM E G.S C,44. 02,Women,50m,Freestyle,,,,
50m FreestyleWomen,18,ITO Keiko,1953,70-74,A XT OS T A K INOM IZU,43. 64,Women,50m,Freestyle,,,,
50m FreestyleWomen,19,PERVAN Ni c ol a,1954,70-74,W A RRINGA HM A S T E RS S W IM M ING,43. 16,Women,50m,Freestyle,,,,
50m FreestyleWomen,20,KANE RV A Ki r s t i  S i n i k k a,1952,70-74,UINT IK LUB INE RE US,43. 15,Women,50m,Freestyle,,,,
50m FreestyleWomen,21,SHI GENO Ke i k o,1951,70-74,LINE FUK US HIM A,41. 62,Women,50m,Freestyle,,,,
50m FreestyleWomen,22,WA D A  J u n k o,1951,70-74,K ONA M IS HINS A IB A S HI,41. 38,Women,50m,Freestyle,,,,
50m FreestyleWomen,23,FI S HE R Ly nda l l,1953,70-74,DOLP HINS,40. 47,Women,50m,Freestyle,,,,
50m FreestyleWomen,24,MO O R E  P a t r i c i a,1953,70-74,DA RW INS T INGE RS M A S T E RS S C,40. 09,Women,50m,Freestyle,,,,
50m FreestyleWomen,25,JI N Xi aol i,1951,70-74,CHA M P IONS W IM M E RCLUB,40. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,26,DUNN No r i k o,1955,70-74,A LLE GRE T T O,39. 84,Women,50m,Freestyle,,,,
50m FreestyleWomen,27,UHL I G  Ch r i s t i n e,1955,70-74,T G1837HA NA U,38. 26,Women,50m,Freestyle,,,,
50m FreestyleWomen,28,VOLATI ER EP COUQUET Anne,1951,70-74,CNP LA N-LE S -OUA T E S,38. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,29,NAL I AI KI NA G a l i n a,1955,70-74,NA B,37. 87,Women,50m,Freestyle,,,,
50m FreestyleWomen,30,MI L L S  S a l l y  D i a n e,1955,70-74,M IDS US S E XM A RLINS,37. 20,Women,50m,Freestyle,,,,
50m FreestyleWomen,31,WI L L I S O N  C l a r e,1955,70-74,NE W QUA YCORM ORA NT S S C,37. 06,Women,50m,Freestyle,,,,
50m FreestyleWomen,32,NUMAMO T O  Ch i e k o,1952,70-74,T OYA M A P A LA CE,37. 00,Women,50m,Freestyle,,,,
50m FreestyleWomen,33,FLE TCHE R Ga i l,1954,70-74,RYDE A US S IM A S T E RS S W .,36. 11,Women,50m,Freestyle,,,,
50m FreestyleWomen,34,SWI RE- THOMPSON Sus a n,1954,70-74,CLA RE M ONT M A S T E RS,35. 48,Women,50m,Freestyle,,,,
50m FreestyleWomen,35,TUNNI CLI FFE  Ka t hl e e n,1952,70-74,B LA CK COUNT RYNP OT T E RIE S M S C,35. 25,Women,50m,Freestyle,,,,
50m FreestyleWomen,36,JANTZEN Tanj a,1954,70-74,W S FV ON1898HA NNOV E R,35. 07,Women,50m,Freestyle,,,,
50m FreestyleWomen,37,ZI E ME R I ne s  Chr i s t e l,1955,70-74,E S V FRA NK FURT /O.1948,35. 01,Women,50m,Freestyle,,,,
