遞ｮ逶ｮ,No.,名前,年,年代区分,名前,エントリータイム,性別,距離,種目,,,,
50m BreaststrokeWomen,8,MA S B O U R I A N  A n i t a,1960,65-69,CA M ONA T A T ION,01:00.0,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,9,YAMADA I c hi k o,1957,65-69,S W OM IYA M INA M I,01:00.0,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,10,AUNS KUL  P r i s a n a,1957,65-69,CHULA LONGK ORNS W IM M IM GCLUB,58. 62,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,11,SUMI KURA Ya s uk o,1958,65-69,OK S S,58. 61,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,12,SCHWARZ Yv onne,1960,65-69,S CM A GDE B URG,57. 95,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,13,HARDI  L i a  Al i,1960,65-69,INDOM A S T E RS W IM M E RS,57. 20,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,14,SHI MI ZU Hi s a k o,1959,65-69,GUP P YS W IM M INGCLUB OT A,56. 86,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,15,KNI J NE NBURG  T r u i,1958,65-69,DE S,56. 64,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,16,RO MANO  HV I D Ca r mi t,1957,65-69,S W IM T E A M T A A S T RUP,56. 53,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,17,BI E G L E R I l s e,1957,65-69,S CHW IM M UNIONM ODLING,54. 63,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,18,LI  Y ue me i,1956,65-69,S W ORDFIS HCLUB,54. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,19,FUTABA Ka z uk o,1958,65-69,ROCK E T DA N,53. 90,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,20,NAG Y O V A Ma g d a l e n a,1960,65-69,T URCIA NS K IRA CI,53. 86,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,21,GOUDI E  J a n,1960,65-69,S OUT HGIP P S LA NDB A S S M A S T E RS,53. 22,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,22,ANT HO NY  V i v i e n n e,1959,65-69,CLA RE M ONT M A S T E RS,52. 14,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,23,YAMADA Ay a k o,1959,65-69,RA RINA NT E S K IT A T ODA,52. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,24,TAS HI RO Ma r i k o,1957,65-69,CW CS E IJ O,51. 06,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,25,STEI LBERG Ka r e n El i z a be t,1957,65-69,M IA M IM A S T E RS S W IM M INGCLUB,50. 93,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,26,SANTOS Ma r i s a  El e a ne,1960,65-69,CE NT A UROS CHIHUA HUA,50. 89,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,27,SASA Yumi k o,1959,65-69,OK S S,50. 79,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,28,NE AV E S  L e s l e y,1960,65-69,FOOT HILLS M A S T E RS S W IM CLUB,50. 77,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,29,LI MONCHI  Ge l a,1959,65-69,DE LFINE S M ONT E S S ORI,50. 52,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,30,BI J KE RK Co r n e l i a  Ch r i s t i,1960,65-69,GZCDONK,50. 16,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,31,TE LI  E v a,1956,65-69,S ZE NT E S IDE LFINE GE S ZS E GM E G.S C,50. 09,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,32,SOEWADJ I  Na ni k,1956,65-69,M ILLE NNIUM A QUA T ICJ A K A RT A,50. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,33,RE HNS T RO M Ke r s t i n  E l i s a b,1957,65-69,E K E NA S S IM S A LLS K A P,49. 93,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,34,FAV A S i l v i a,1960,65-69,A CQUA 1V ILLA GE,49. 49,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,35,OHAS HI  Ke i k o,1960,65-69,IT OM A NYOK OS UK A,49. 31,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,36,GE T T E L F I NGE R Ch e r y l  M,1957,65-69,INDYA QUA T ICM A S T E RS,48. 77,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,37,MA T S U MO T O  Ma r i k o,1958,65-69,E HIM E K E NM A S T E RS,48. 08,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,38,SCHULZ I r i s,1959,65-69,E S V FRA NK FURT /O.1948,46. 85,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,39,RE I L L Y  P a t r i c i a,1960,65-69,A E RLINGUS M A S T E RS,46. 18,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,40,AL BUQ UE RQ UE  Ma r i a  Cr i s t i,1958,65-69,RODRIGONUOT OT RIV INOA E,44. 89,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,41,KUT Z  P a t r i c i a,1959,65-69,S GLUB E CK,44. 46,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,42,RO CHAT  Ch a n t a l,1960,65-69,S W IS S A LUM NIS W IM M ING,44. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,43,LOBB Al i s on,1960,65-69,B OROUGHOFK IRK LE E S S C,43. 72,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,44,CO RNE L L I  Al e s s a n d r a,1956,65-69,CIRCOLOCA NOT T IE RIA NIE NE,43. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,45,UHL I G  Ke r s t i n,1960,65-69,S GW E T T E RA U,43. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,46,OKADA T o mo k o,1960,65-69,A INOS E NS HI,42. 49,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,47,DO BBI E  V e r i t y,1959,65-69,DE RW E NT S IDE & GA T E S HE A DS T,42. 46,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,48,MA G N U S S O N  C a r o l i n e,1956,65-69,T A B YS IM,42. 26,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,49,ISEPPI Esther,1958,65-69,S P E NCE RS W IM T E A M,41. 76,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,50,GARAY  J u d y,1960,65-69,T E A M RE DB IRD,40. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,1,ORT E GA T e r e s a,1965,60-64,A QUA T IK S P ORT CE NT E R,01:02.0,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,2,FUJ I I  Y ok o,1961,60-64,RA RINA NT E S K ONA NDA I,01:01.5,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,3,MA R U Y A MA  Me g u m i,1963,60-64,T OK YOB A YS C,59. 97,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,4,LE A De bbi e,1961,60-64,M A IT LA NDA US S IM A S T E RS,59. 21,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,5,MU N O Z  L a u r a,1961,60-64,A CUA T ICA NE LS ONV A RGA S,59. 04,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,6,NI S BE T  T r i x i e,1964,60-64,LE W E S S C,58. 18,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,7,AO  Wa i l a n,1962,60-64,S W ORDFIS HCLUB,58. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,8,NAKAT ANI  Ka t s u k o,1963,60-64,CA CS C,57. 10,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,9,HAT F I E L D Bo  J i n,1961,60-64,NE W E NGLA NDM A S T E RS S W IM CLUB,56. 35,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,10,LI  We i we i,1961,60-64,S W ORDFIS HCLUB,56. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,11,SHI MAMURA Hi s a e,1963,60-64,S W A GE O,55. 75,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,12,SETI AWATI  La ni,1964,60-64,INDOM A S T E RS W IM M E RS,55. 42,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,13,NG  Wa i  L i n  An g i e,1964,60-64,S W ORDFIS HCLUB,55. 35,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,14,MO R I T A  Ma k i k o,1963,60-64,CFCFUT A M A T A GA W A,53. 50,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,15,MU R A K I  Mi e k o,1965,60-64,HE M INGDE M A CHI,53. 37,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,16,TRE GONNI NG Al e x a ndr a,1961,60-64,CLA RE M ONT M A S T E RS,52. 14,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,17,ZHANG Y a nqi a o,1961,60-64,S HA NGHA IS W IM S T A RS C,52. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,18,ZAMORA Ros a,1963,60-64,A CUA T ICA NE LS ONV A RGA S,51. 64,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,19,GOL DS HT E I N L a r i s a,1961,60-64,M A CCA B IS HOHA M,51. 39,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,20,PENADES BALLESTER Ma r i a,1961,60-64,C.N.M E DIT E RRA NE OV A LE NCIA,51. 32,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,21,KANO  Ke i k o,1962,60-64,HE M INGDE M A CHI,50. 56,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,22,OKAMOT O No b u y o,1963,60-64,GE NE X,50. 22,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,23,HAI DUKE V I CH Al e n a,1962,60-64,NA A,50. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,24,WE I  X i a n g h u a,1961,60-64,S HA NGHA IS W IM S T A RS C,50. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,25,NI CKE RL  Cl a u d i a,1965,60-64,S S GP FORZHE IM,49. 34,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,26,PANG Yunx i a o,1964,60-64,NE W W A T E RP OLOCLUB,49. 25,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,27,ZHAI  Y udong,1964,60-64,M E RLIONM A S T E RS A QUA T ICS,49. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,28,ME E R J A N S S E N  Ma r i a,1963,60-64,T HE M E RM A IDS -S V,48. 90,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,29,MA R T I N  L a u r a,1962,60-64,NA T A CIONA RGE NT INA M A S T E R,48. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,30,UG RY UMO V A I r i n a,1962,60-64,NA B,48. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,31,VERRYN Sa bi ne,1961,60-64,COE LA CA NT HM S C,47. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,32,PRAZNI K Ka t a r i na,1964,60-64,P LA V A LNIK LUB V E LE NJ E,46. 82,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,33,NAKAMURA I k u k o,1963,60-64,A CS S HUNA N,46. 32,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,34,CO I  Ma r t a,1965,60-64,A CQUA 1V ILLA GE,45. 98,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,35,HUL L  T r a c e y  J a n e,1965,60-64,LIS B URNCIT YS W IM M INGCLUB,45. 95,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,36,POLLAKOVA Ve r oni k a,1962,60-64,P S K ZILINA,45. 59,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,37,ANO S HI NA I r i n a,1965,60-64,NA B,45. 50,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,38,CRUI CKS HANK An n e - Ma r i e,1963,60-64,DA RW INS T INGE RS M A S T E RS S C,45. 49,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,39,SI MPSON Li s a  Ma s a k o,1964,60-64,S A NDIE GOS W IM M A S T E RS,45. 29,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,40,KUNO V AC J e l e n a,1964,60-64,T E A M RE DB IRD,45. 11,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,41,ZUO Hua nl i a ng,1965,60-64,S HA NGHA IS W IM S T A RS C,45. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,42,ZHOU Y i,1961,60-64,CHA M P IONS W IM M E RCLUB,44. 80,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,43,ECKERMANN Ha na,1963,60-64,T J B OHE M IA NS P RA HA,44. 45,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,44,DUCARRE  E l i s a b e t h,1964,60-64,B OULOGNE B ILLA NCOURT NA T A T ION,44. 18,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,45,DI E ME RT  V i r g i n i a,1964,60-64,OW E NS OUNDA QUA T ICCLUB,44. 11,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,46,DO S S O W Bi r g i t,1963,60-64,HS V M E DIZINM A GDE B URG,44. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,47,STRUBE I ne s,1961,60-64,W A S S E RB A LLUNIONM A GDE B URG,44. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,48,ZUTTE R Cy nt hi a,1965,60-64,T E A M RE DB IRD,44. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,49,KRO E G E R P e t r a,1964,60-64,S GS T A DT W E RK E M UNCHE N,43. 77,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,50,BI T T ANT E  E ma n u e l a,1961,60-64,ONDA B LUS .C.S .A R.L.,43. 37,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,51,GL OMB S y l v i a,1962,60-64,B E RLINE RT S C,43. 25,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,52,BUL MAN Ro b i n,1965,60-64,S A NT A ROS A M A S T E RS,42. 84,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,53,MA L T S E V A  Ma r i n a,1961,60-64,NA B,42. 20,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,54,KUL L A Ka i a,1961,60-64,M E IS T E RUJ UM IS E U-K LUB I,42. 15,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,55,PRI CE Al i s on J e a n,1965,60-64,B RIDGE NDS W IM CLUB,41. 28,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,56,AS P HO L M An n i k a  Kr i s t i n,1963,60-64,A LA NDS S IM FORE NING,40. 99,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,57,GODGE S  Ar l e t t e,1964,60-64,T E A M RE DB IRD,40. 18,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,58,PETRACCHI  Da ni e l a,1963,60-64,ROM A NUOT OM A S T E R,38. 83,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,59,TAKI MOTO Chi e k o,1964,60-64,M IZUS HIB UK I,38. 16,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,1,MA T S U K A WA  D E V O U  R i t s u k o,1969,55-59,CFCFUT A M A T A GA W A,58. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,2,VI LLALOBOS CUEVAS Ma r i a,1968,55-59,S W IM M E RS,58. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,3,ANDO U Ma mi k o,1969,55-59,M INA M IS W IM M INGCLUB,57. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,4,MA G N U S S O N  Mi c h e l l e  J a y,1968,55-59,NORT HS HORE M A S T E RS S C,57. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,5,QI N Da n d a n,1970,55-59,S HA NGHA IS W IM S T A RS C,57. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,6,MA E D A  Mi t s u y o,1966,55-59,IT OM A NS A K A I,56. 08,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,7,HO G UE  Mi c h e l l e  Ch r i s t i n e,1967,55-59,CLA RE M ONT M A S T E RS,55. 14,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,8,TACHI I RI  Ma s a k o,1970,55-59,HE M INGDE M A CHI,53. 88,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,9,MI N O MO  Y u k i k o,1970,55-59,T OK YOS C,53. 65,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,10,BUL T E NA- RUS E K An i a,1966,55-59,T RIV IA,53. 09,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,11,POLLARD Ros e,1970,55-59,LA DIE S ' RE CRE A T IONCLUB,52. 66,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,12,ZHANG Rui c a i,1970,55-59,S HA NGHA IS W IM S T A RS C,52. 17,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,13,VOLKOVA Sv e t l a na,1966,55-59,NA B,52. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,14,SI MPSON Ki m,1968,55-59,S T A DIUM M A S T E RS S C,51. 68,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,15,BO T HA Ma r i a n n e,1966,55-59,T OOW OOM B A M A S T E RS S C,51. 54,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,16,OZ AWA Y u mi k o,1966,55-59,T OB UOW A DA,51. 50,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,17,NAS T I T I  Ra r a,1970,55-59,M ILLE NNIUM A QUA T ICJ A K A RT A,51. 49,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,18,RO BE RT S  T o n y a,1968,55-59,LA DIE S ' RE CRE A T IONCLUB,51. 29,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,19,LE NZI  Ca r l a,1967,55-59,S P ORT A LGE S E DA FUNDO,50. 87,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,20,BE S S Y  Ca r o l e,1967,55-59,DA UP HINS E M B RUN,50. 41,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,21,SAKAI  Yos hi k o,1966,55-59,M IP CO,50. 34,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,22,KWAK Mi j u n g,1970,55-59,L,50. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,23,PEEVA El e na  Mi ha y l ov a,1970,55-59,S CDA M INIM A S T E RS,50. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,24,KO KAI  I b o l y a,1968,55-59,S ZE NT E S IDE LFINE GE S ZS E GM E G.S C,49. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,25,KAKI NUMA At s u k o,1970,55-59,NE W -K UM A E IK A I2O2O,48. 50,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,26,SUGI YAMA Yuk o,1968,55-59,T OK YOS C,47. 91,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,27,BE L L Y NCK Ca t h e r i n e,1969,55-59,E CNCHA RT RE S -DE -B RE T A GNE,47. 55,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,28,BRAT AS E NA S u z y,1969,55-59,M ILLE NNIUM A QUA T ICJ A K A RT A,47. 50,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,29,HU Z h o n g y a n g,1968,55-59,S HA NGHA IS W IM S T A RS C,47. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,30,DAG E NAI S  S o p h i e,1969,55-59,S W IM ONT A RIOM A S T E RS,46. 92,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,31,LE E  S t e l l a  Wa i - Y e e,1966,55-59,HOIFUNGS W IM M INGCLUB,46. 46,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,32,LE E  Ky ung P un,1969,55-59,A LLP ODIUM,46. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,33,TODA Ma r i e,1967,55-59,A LLE GRE T T O,45. 65,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,34,FI S CHE R Da gma r,1968,55-59,S V B URGW E DE L,45. 52,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,35,MI L U T I N O V I C  A l e k s a n d r a,1967,55-59,S W IM ONT A RIOM A S T E RS,44. 57,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,36,SHU Qi n,1970,55-59,S HA NGHA IS W IM S T A RS C,44. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,37,TAN P oh Choo,1967,55-59,M E RLIONM A S T E RS A QUA T ICS,43. 50,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,38,TAGG Cl a i r e,1969,55-59,S OUT HDOW NS T ROJ A NS C,43. 20,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,39,MO N I G  L a n e t t,1970,55-59,W A S S E RS P ORT V E RE INS CHE RM B E CK,42. 06,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,40,KI S HI  I k u k o,1968,55-59,S W IM CLOV E R,42. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,41,TS I V I NI UK Ma r i na,1970,55-59,NA B,42. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,42,AT T WE L L  Ca r r i e  S u s a n,1970,55-59,T HE OLYM P ICCLUB,41. 89,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,43,INFANTE Carol-Ann Margar,1966,55-59,CE NT RA LA QUA T ICS & LS CM A S T E RS,41. 69,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,44,CUNNAH De l y t h,1968,55-59,DUNDE E CIT YA QUA T ICS S C,41. 60,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,45,ILANDER Anu,1968,55-59,E S P OONK ILP A UINT I,41. 43,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,46,CUNHA Mo n i c a,1970,55-59,RODRIGONUOT OT RIV INOA E,41. 36,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,47,CUMI NG  S a l,1968,55-59,P OW E RP OINT S,41. 35,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,48,THAM Chr i s t i na,1969,55-59,K A LLA NGA LIV E S P ORT M A NA GE M E NT,40. 88,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,49,LAUTE NBACHE R Cl a udi a,1966,55-59,RE D-FIS HNE UCHA T E L,39. 71,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,50,GOODAL E  Ra i n y,1970,55-59,NE W E NGLA NDM A S T E RS S W IM CLUB,39. 51,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,51,KUL I S  Ma r i o l a,1966,55-59,K LUB S P ORT OW YK ORONA 1919,39. 50,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,52,CO RNE J O  J URG E NS E N Ma r i a n,1967,55-59,URIS OT E A M,39. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,53,PLOCEK Ka r i na,1969,55-59,ROCK YM OUNT A INRE GIONA LM A S T E RS,38. 87,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,54,CO L L I NS  Ki m,1966,55-59,CHIRK DRA GONS S W IM M INGCLUB,38. 41,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,55,BE L L - WE S T  He i d i,1970,55-59,E XE M A S T E RS S W IM M INGCLUB,37. 93,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,56,SCOLARO Chr i s t i na,1968,55-59,T S A M A S T E RS,37. 88,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,57,DAV I S  He l e n,1970,55-59,T E A M A NGLIA M A S T E RS S C,37. 50,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,58,OS BORNE  Ga b r i e l l e  Ch r i s t,1969,55-59,HOB A RT A QUA T ICM A S T E RS,37. 49,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,59,PERTH De i r dr e,1970,55-59,A E RLINGUS M A S T E RS,36. 82,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,60,RI V E T  L o r e n a,1970,55-59,NA T A CIONA RGE NT INA M A S T E R,36. 41,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,61,VI TALONI  Sa bi na,1970,55-59,DE RT HONA NUOT O,36. 20,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,1,GARCI A Du l c e,1974,50-54,A QUA T IK S P ORT CE NT E R,55. 50,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,2,HUI  Y u e,1973,50-54,S HA NGHA IS W IM S T A RS C,55. 50,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,3,CO O KE  He a t h e r,1971,50-54,S UM M E RLA NDORCA M A S T E RS,55. 44,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,4,MO N T E S D E O C A  Z A MO R A  R o s a,1971,50-54,C.D.NONA DA M OS,55. 02,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,5,KI T ANA Y o k o,1973,50-54,M INA M IS W IM M INGCLUB,55. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,6,CHO I  S h a n  S h a n,1972,50-54,S W ORDFIS HCLUB,54. 59,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,7,HO UBE N Ca r me n,1971,50-54,S GW E T T E RA U,54. 38,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,8,MI C H U K I  Y v o n n e  J a n i c e  Wa,1974,50-54,T HE HA RP OONS,54. 32,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,9,SHRI VASTAVA Ra gi ne e,1971,50-54,M A DHYA P RA DE S HS A,54. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,10,CAMP BE L L  Ro s,1973,50-54,S ILV E RCIT YB LUE S M A S T E RS S C,53. 83,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,11,TURANS KA Ka t a r i na,1972,50-54,T URCIA NS K IRA CI,52. 75,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,12,YOSHI OKA Me gumi,1975,50-54,M E RLIONM A S T E RS A QUA T ICS,52. 50,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,13,SI J BERS J udi t h Ma r i a  He n,1973,50-54,P S V,52. 34,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,14,ZOCCA J oe l l e  Al i c e  Ba r be,1972,50-54,S W IM M INGCLUB E RA,52. 18,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,15,LE E  Mi r a n,1971,50-54,S W IM M E R,51. 00,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,16,PI LLARD Ce c i l e,1975,50-54,T OULONV A RNA T A T ION,50. 87,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,17,LE E  Da ni e l l e,1971,50-54,FROGNA LM A S T E RS S W IM M INGCLUB,50. 08,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,18,GARDI NE R J a c k i e,1974,50-54,CLA RE M ONT M A S T E RS,49. 93,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,19,KO  J u n g,1973,50-54,S W IM ON,49. 78,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,20,STOLZ Sy l v i a  I ne s,1975,50-54,S S V HOYE RS W E RDA,49. 59,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,21,GAL ANY K Ka r e n  E l i z a b e t h,1973,50-54,S W IM ONT A RIOM A S T E RS,49. 37,Women,50m,Breaststroke,,,,
50m BreaststrokeWomen,22,WE G N E R  K a r i n,1972,50-54,T E A M RE DB IRD,48. 81,Women,50m,Breaststroke,,,,
